Adresse,Postnummer,Poststed,Lat,Lon
Kolvikbakken 19,6008,ÅLESUND,62.47266232179357,6.218250683150829
Kolvikbakken 1A,6008,ÅLESUND,62.47285801109573,6.21590367357348
Kolvikbakken 1B,6008,ÅLESUND,62.472690834816426,6.21562815265539
Kolvikbakken 1C,6008,ÅLESUND,62.4727096103204,6.215218866250498
Kolvikbakken 20,6008,ÅLESUND,62.47237118005949,6.218064317941959
Kolvikbakken 21,6008,ÅLESUND,62.472670819788085,6.218676834184439
Kolvikbakken 22,6008,ÅLESUND,62.4723777472283,6.2183936131857385
Kolvikbakken 23,6008,ÅLESUND,62.472600945013056,6.219226717748328
Kolvikbakken 24,6008,ÅLESUND,62.472301693922695,6.2186335676142255
Kolvikbakken 26,6008,ÅLESUND,62.4722949631914,6.219196974310539
Kolvikbakken 27,6008,ÅLESUND,62.47269244517943,6.219761583511363
Kolvikbakken 28,6008,ÅLESUND,62.472330740563606,6.219639988106378
Kolvikbakken 30,6008,ÅLESUND,62.47222414100152,6.220600808574586
Kolvikbakken 3A,6008,ÅLESUND,62.47301288565046,6.215112974537289
Kolvikbakken 3B,6008,ÅLESUND,62.47317967623834,6.215369124687984
Kolvikbakken 3C,6008,ÅLESUND,62.47308956405553,6.21580447135287
Kolvikbakken 5A,6008,ÅLESUND,62.4732253470192,6.214957324500328
Kolvikbakken 5B,6008,ÅLESUND,62.47345712518725,6.215107860774781
Kolvikbakken 7A,6008,ÅLESUND,62.473608008565115,6.215678533634456
Kolvikbakken 7B,6008,ÅLESUND,62.47340941993524,6.215660748092761
Kolvikbakken 8,6008,ÅLESUND,62.472309963865584,6.215896518169019
Kolvikbakken 9,6008,ÅLESUND,62.4725538880159,6.21641717016488
Krohnbakken 10,6008,ÅLESUND,62.47091755023363,6.194023432026876
Kråkeskaret 1,6008,ÅLESUND,62.47259257638624,6.21277917777101
Kråkeskaret 10,6008,ÅLESUND,62.47359370482208,6.21343357775881
Kråkeskaret 12,6008,ÅLESUND,62.4738141673608,6.213408082381883
Kråkeskaret 13,6008,ÅLESUND,62.47357593786407,6.212390855699063
Kråkeskaret 15,6008,ÅLESUND,62.47347122622179,6.212877261643465
Kråkeskaret 17,6008,ÅLESUND,62.47371251633945,6.212815939728852
Kråkeskaret 2,6008,ÅLESUND,62.47269156416824,6.213415742260157
Kråkeskaret 3,6008,ÅLESUND,62.4727298751458,6.212635907388035
Kråkeskaret 4,6008,ÅLESUND,62.47302682938778,6.213112781322666
Kråkeskaret 5,6008,ÅLESUND,62.47302108617021,6.2123758607392645
Kråkeskaret 6,6008,ÅLESUND,62.47326031535829,6.213110410920392
Kråkeskaret 8A,6008,ÅLESUND,62.473282822535275,6.213643554172715
Kråkeskaret 8B,6008,ÅLESUND,62.473289366260474,6.213755309954053
Kråkeskaret 9,6008,ÅLESUND,62.47350636160117,6.211979124628389
